cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,0,"{""strategy"": ""prior""}",0.5,,192,57
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,1,"{""strategy"": ""prior""}",0.5,,212,37
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,2,"{""strategy"": ""prior""}",0.5,,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,3,"{""strategy"": ""prior""}",0.5,,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,no_information,no_information_prior,20260909,0,4,"{""strategy"": ""prior""}",0.5,,202,47
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,0,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.7,0.48767363283694154,192,57
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,1,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5671457123822214,212,37
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,2,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.5652173913043478,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,3,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.35,0.5009620009620009,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,4,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.6,0.5237050043898156,202,47
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.35,0.5078212989613314,192,57
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,1,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.7,0.4750166555629581,212,37
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.55,0.4922935357717967,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.4612794612794613,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,4,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.7,0.45116330114135206,202,47
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,0,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.35,0.4681516706294581,192,57
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,1,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.6,0.47777672028171697,212,37
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,2,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.75,0.5098918794570968,195,54
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,3,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.5,0.504088504088504,195,54
