id,category,citation,year,modality,model_or_method,key_result_or_claim,relevance_to_chongqing_dataset,url
1,Multimodal,"Tang et al., A multimodal depression recognition method based on EEG-fNIRS-SDS",2026,"EEG; fNIRS; clinical scale","MI-WNet; mutual-information weighted fusion","Reported 95.52% +/- 0.42% accuracy and emphasized adaptive modality weighting over fixed fusion.","Use as v2 inspiration for EEG+fNIRS+optional non-leakage clinical covariates; avoid feeding scales used in labels.","https://pubmed.ncbi.nlm.nih.gov/41617022/"
2,Multimodal,"Li Yi et al., Automatic depression diagnosis through hybrid EEG and near-infrared spectroscopy features using SVM",2023,"EEG; fNIRS","Feature selection + SVM","Resting EEG+fNIRS accuracy 92.7%, higher than EEG alone 81.8%.","Strong direct precedent for combining EEG network/asymmetry with fNIRS entropy/connectivity in this dataset.","https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2023.1205931/full"
3,Multimodal,"Yin et al., A Multimodal EEG-Eye Movement Model for Automatic Depression Detection",2026,"EEG; eye movement","E2Mo; modality-specific encoders; mixture of modality experts","Large EEG-eye dataset; multimodal balanced accuracy 70.06%, AUROC 78.59%; facial-expression task subset performed best.","Use for missing-modality-friendly experts and for eye movement task prioritization.","https://ojs.aaai.org/index.php/AAAI/article/view/37205"
4,Multimodal,"Content-based multiple evidence fusion on EEG and eye movements for mild depression recognition",2022,"EEG; eye movement","Decision-level CBMEF; Bayesian/confusion-matrix reliability; Mahalanobis weighting","Motivates decision-level fusion that reduces cross-modal interference.","Good v1/v2 bridge for EEG+eye late fusion when eye coverage is sparse.","https://www.sciencedirect.com/science/article/abs/pii/S0169260722004813"
5,Multimodal,"Transformer-based fusion model for mild depression recognition with EEG and pupil area signals",2025,"EEG; pupil area","CSP + Transformer; attention bottleneck mid-fusion","Reported single-modal EEG and pupil models plus stronger mid-fusion performance.","Relevant to Tobii/eye pupil features and to mid-fusion after v1 baselines.","https://pubmed.ncbi.nlm.nih.gov/39909988/"
6,EEG,"Cai et al., Feature-level fusion approaches based on multimodal EEG data for depression recognition",2020,"EEG under emotional audio stimuli","Feature engineering; feature-level fusion; KNN/DT/SVM","Feature fusion of positive/negative/neutral stimulation improved recognition, highest reported accuracy 86.98%.","Maps to this dataset's task EEG paradigms and supports task-wise EEG fusion before cross-modal fusion.","https://www.sciencedirect.com/science/article/pii/S1566253519302143"
7,EEG,"Movahed et al., A major depressive disorder classification framework based on EEG signals",2021,"EEG","Statistical, spectral, wavelet, functional connectivity, nonlinear features; SBFS; SVM and other classifiers","Demonstrates a broad hand-crafted EEG feature bank with feature selection for MDD diagnosis.","Use as the v1 EEG baseline feature template before deep learning.","https://pubmed.ncbi.nlm.nih.gov/33957158/"
8,EEG,"Rafiei et al., Automated Detection of Major Depressive Disorder With EEG Signals",2022,"EEG","InceptionTime deep time-series classifier; channel selection","Reported 91.67% accuracy with full 19-channel EEG and 87.5% after channel reduction.","Use as v2 raw/spectrogram EEG baseline after hand-crafted features are stable.","https://ieeexplore.ieee.org/document/9828387/"
9,EEG review,"Liu et al., Machine learning approaches for diagnosing depression using EEG: A review",2022,"EEG","Systematic review of EEG ML studies","Reviewed 36 EEG depression diagnosis articles and highlighted common classifiers/features.","Use to justify EEG feature families and warn about small-sample, validation, and generalization risks.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9375981/"
10,EEG review,"Lin et al., Resting-State Electroencephalogram Depression Diagnosis Based on Traditional Machine Learning and Deep Learning",2024,"Resting EEG","Comparative review","Compares traditional ML and deep learning for resting-state EEG depression diagnosis.","Use to frame rest EEG as an interpretable first-pass modality with deep models as later baselines.","https://www.mdpi.com/1424-8220/24/21/6815"
